Id,Game Name,Release Year,Genre,Publisher,Critic Points,Critic Amount,User Points,User Amount,Developer,Rating,Opinion
0,Grand Theft Auto V,2013.0,Action,Take-Two Interactive,97.0,50.0,8.2,3994.0,Rockstar North,M,P
1,Grand Theft Auto: San Andreas,2004.0,Action,Take-Two Interactive,95.0,80.0,9.0,1588.0,Rockstar North,M,P
2,Grand Theft Auto: Vice City,2002.0,Action,Take-Two Interactive,95.0,62.0,8.7,730.0,Rockstar North,M,P
3,Call of Duty: Modern Warfare 3,2011.0,Shooter,Activision,88.0,81.0,3.4,8713.0,"Infinity Ward, Sledgehammer Games",M,N
4,Call of Duty: Black Ops,2010.0,Shooter,Activision,87.0,89.0,6.3,1454.0,Treyarch,M,N
5,Call of Duty: Black Ops II,2012.0,Shooter,Activision,83.0,21.0,5.3,922.0,Treyarch,M,N
6,Call of Duty: Modern Warfare 2,2009.0,Shooter,Activision,94.0,100.0,6.3,2698.0,Infinity Ward,M,N
7,Grand Theft Auto III,2001.0,Action,Take-Two Interactive,97.0,56.0,8.5,664.0,DMA Design,M,P
8,Grand Theft Auto IV,2008.0,Action,Take-Two Interactive,98.0,86.0,7.9,2951.0,Rockstar North,M,P
9,Call of Duty: Modern Warfare 2,2009.0,Shooter,Activision,94.0,67.0,6.3,2073.0,Infinity Ward,M,N
10,Call of Duty: Ghosts,2013.0,Shooter,Activision,73.0,29.0,2.6,2117.0,Infinity Ward,M,N
11,Call of Duty 4: Modern Warfare,2007.0,Shooter,Activision,94.0,70.0,8.4,1320.0,Infinity Ward,M,P
12,The Elder Scrolls V: Skyrim,2011.0,Role-Playing,Bethesda Softworks,96.0,89.0,8.4,3589.0,Bethesda Game Studios,M,P
13,FIFA 16,2015.0,Sports,Electronic Arts,82.0,42.0,4.3,896.0,EA Sports,E,N
14,FIFA Soccer 13,2012.0,Action,Electronic Arts,88.0,37.0,6.6,348.0,Electronic Arts,E,N
15,The Sims 3,2009.0,Simulation,Electronic Arts,86.0,75.0,7.6,886.0,The Sims Studio,T,P
